Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined,Date,Open,High,Low,Close,PriceDifference,RSI,MA,%K,%D,MACD,Signal Line,Upper Band,Lower Band
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,131119,2013-11-22,023651,NYME,1,23,1279061,135225,194720,220425,10053,113055,249610,329382,263610,37874,126393,196263,1216062,1233476,62999,45585,1279061,135225,194720,220425,10053,113055,249610,329382,263610,37874,126393,196263,1216062,1233476,62999,45585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-294.0,-316.0,1325.0,-4915.0,-4653.0,-3043.0,602.0,-11198.0,4791.0,-6598.0,4432.0,8581.0,-898.0,235.0,604.0,-529.0,100,10.6,15.2,17.2,0.8,8.8,19.5,25.8,20.6,3.0,9.9,15.3,95.1,96.4,4.9,3.6,100,10.6,15.2,17.2,0.8,8.8,19.5,25.8,20.6,3.0,9.9,15.3,95.1,96.4,4.9,3.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299,42.0,33.0,22.0,11.0,24.0,55.0,72.0,74.0,43.0,32.0,54.0,246,236.0,299.0,42.0,33.0,22.0,11.0,24.0,55.0,72.0,74.0,43.0,32.0,54.0,246.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,25.8,32.5,39.8,11.9,17.0,18.2,23.4,17.9,25.8,32.5,39.8,11.9,17.0,18.2,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2013-11-22,3.741,3.83,3.722,3.811,1.0,54.71364598551917,3.6156000000000006,100.0,84.67643467643472,0.009676514301987016,0.1041478900755218,3.9382465558470576,3.2929534441529436
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,131112,2013-11-15,023651,NYME,1,23,1279355,135541,193395,225340,14706,116098,249008,340580,258819,44472,121961,187682,1216960,1233241,62395,46114,1279355,135541,193395,225340,14706,116098,249008,340580,258819,44472,121961,187682,1216960,1233241,62395,46114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312.0,9944.0,6659.0,6720.0,-4816.0,-5475.0,-3858.0,10758.0,-13052.0,-5962.0,-7364.0,13022.0,1339.0,-268.0,-27.0,1580.0,100,10.6,15.1,17.6,1.1,9.1,19.5,26.6,20.2,3.5,9.5,14.7,95.1,96.4,4.9,3.6,100,10.6,15.1,17.6,1.1,9.1,19.5,26.6,20.2,3.5,9.5,14.7,95.1,96.4,4.9,3.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297,43.0,34.0,21.0,12.0,27.0,57.0,68.0,74.0,46.0,29.0,55.0,251,234.0,297.0,43.0,34.0,21.0,12.0,27.0,57.0,68.0,74.0,46.0,29.0,55.0,251.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,25.3,32.1,38.8,12.1,17.0,18.5,23.7,18.3,25.3,32.1,38.8,12.1,17.0,18.5,23.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2013-11-15,3.663,3.713,3.626,3.708,1.0,51.62974129274749,3.60595,83.33333333333343,73.38217338217346,-0.002838993071588636,0.08275051344609972,3.915258549748202,3.296641450251798
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,131105,2013-11-08,023651,NYME,1,23,1278043,125597,186736,218620,19522,121573,252866,329822,271871,50434,129325,174660,1215621,1233509,62422,44534,1278043,125597,186736,218620,19522,121573,252866,329822,271871,50434,129325,174660,1215621,1233509,62422,44534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16147.0,-21110.0,-46225.0,966.0,-7061.0,3237.0,788.0,58156.0,15028.0,11955.0,-14655.0,4621.0,15485.0,13101.0,662.0,3046.0,100,9.8,14.6,17.1,1.5,9.5,19.8,25.8,21.3,3.9,10.1,13.7,95.1,96.5,4.9,3.5,100,9.8,14.6,17.1,1.5,9.5,19.8,25.8,21.3,3.9,10.1,13.7,95.1,96.5,4.9,3.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311,43.0,35.0,21.0,12.0,26.0,55.0,79.0,70.0,48.0,34.0,59.0,251,248.0,311.0,43.0,35.0,21.0,12.0,26.0,55.0,79.0,70.0,48.0,34.0,59.0,251.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,25.2,32.5,39.0,11.9,16.9,18.3,22.9,19.1,25.2,32.5,39.0,11.9,16.9,18.3,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2013-11-08,3.583,3.64,3.568,3.616,1.0,48.734217764141846,3.5985,70.69597069597074,74.72527472527476,-0.008284764519320476,0.06454345785301568,3.904620375359912,3.292379624640088
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,131029,2013-11-01,023651,NYME,1,23,1261896,146707,232961,217654,26583,118336,252078,271666,256843,38479,143980,170039,1200136,1220408,61760,41488,1261896,146707,232961,217654,26583,118336,252078,271666,256843,38479,143980,170039,1200136,1220408,61760,41488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.0,-4296.0,-5129.0,4994.0,-616.0,-911.0,-6291.0,27188.0,-505.0,15156.0,-15608.0,-6206.0,1941.0,-1787.0,-1785.0,1943.0,100,11.6,18.5,17.2,2.1,9.4,20.0,21.5,20.4,3.0,11.4,13.5,95.1,96.7,4.9,3.3,100,11.6,18.5,17.2,2.1,9.4,20.0,21.5,20.4,3.0,11.4,13.5,95.1,96.7,4.9,3.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294,43.0,36.0,23.0,12.0,23.0,63.0,64.0,66.0,39.0,32.0,49.0,236,229.0,294.0,43.0,36.0,23.0,12.0,23.0,63.0,64.0,66.0,39.0,32.0,49.0,236.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,24.6,34.4,39.0,11.9,15.0,18.4,21.5,20.1,24.6,34.4,39.0,11.9,15.0,18.4,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2013-11-01,3.649,3.657,3.585,3.591,1.0,47.9479802311509,3.60625,66.11721611721619,83.05959273701211,-0.005747770886080694,0.0504852121051964,3.9219346361064344,3.290565363893566
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,131022,2013-10-25,023651,NYME,1,23,1261740,151003,238090,212660,27199,119247,258369,244478,257348,23323,159588,176245,1198195,1222195,63545,39545,1261740,151003,238090,212660,27199,119247,258369,244478,257348,23323,159588,176245,1198195,1222195,63545,39545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5030.0,-1194.0,-96.0,-1088.0,672.0,-1458.0,-2229.0,4222.0,2279.0,7483.0,-3791.0,-12346.0,-8553.0,-10518.0,3523.0,5488.0,100,12.0,18.9,16.9,2.2,9.5,20.5,19.4,20.4,1.8,12.6,14.0,95.0,96.9,5.0,3.1,100,12.0,18.9,16.9,2.2,9.5,20.5,19.4,20.4,1.8,12.6,14.0,95.0,96.9,5.0,3.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,41.0,35.0,22.0,12.0,24.0,70.0,58.0,68.0,33.0,41.0,60.0,249,235.0,300.0,41.0,35.0,22.0,12.0,24.0,70.0,58.0,68.0,33.0,41.0,60.0,249.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,25.0,34.4,39.3,11.8,14.9,18.3,21.4,20.2,25.0,34.4,39.3,11.8,14.9,18.3,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2013-10-25,3.63,3.731,3.593,3.707,1.0,51.34047647740843,3.6133499999999996,87.36263736263736,93.63700815313719,0.00011941398682235871,0.0404120524815216,3.933939769019487,3.2927602309805124
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,131015,2013-10-18,023651,NYME,1,23,1266770,152197,238186,213748,26527,120705,260598,240256,255069,15840,163379,188591,1206748,1232713,60022,34057,1266770,152197,238186,213748,26527,120705,260598,240256,255069,15840,163379,188591,1206748,1232713,60022,34057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20221.0,19835.0,36158.0,-7971.0,-320.0,2727.0,-305.0,-43794.0,1816.0,-11603.0,13941.0,13536.0,18035.0,24064.0,2186.0,-3843.0,100,12.0,18.8,16.9,2.1,9.5,20.6,19.0,20.1,1.3,12.9,14.9,95.3,97.3,4.7,2.7,100,12.0,18.8,16.9,2.1,9.5,20.6,19.0,20.1,1.3,12.9,14.9,95.3,97.3,4.7,2.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295,40.0,37.0,23.0,12.0,25.0,73.0,54.0,75.0,31.0,41.0,60.0,255,234.0,295.0,40.0,37.0,23.0,12.0,25.0,73.0,54.0,75.0,31.0,41.0,60.0,255.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,25.7,34.2,40.8,11.7,15.3,18.2,21.7,20.1,25.7,34.2,40.8,11.7,15.3,18.2,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2013-10-18,3.759,3.785,3.685,3.764,0.0,53.05322267150842,3.6194,95.69892473118279,81.00358422939068,-0.0042045704504487524,0.03148872789512753,3.951781138232301,3.287018861767699
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,131008,2013-10-11,023651,NYME,1,23,1246549,132362,202028,221719,26847,117978,260903,284050,253253,27443,149438,175055,1188713,1208649,57836,37900,1246549,132362,202028,221719,26847,117978,260903,284050,253253,27443,149438,175055,1188713,1208649,57836,37900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29243.0,-3355.0,-5846.0,-2152.0,-3860.0,-7125.0,-3947.0,-3496.0,2209.0,-4775.0,-2311.0,-9719.0,-28864.0,-30148.0,-379.0,905.0,100,10.6,16.2,17.8,2.2,9.5,20.9,22.8,20.3,2.2,12.0,14.0,95.4,97.0,4.6,3.0,100,10.6,16.2,17.8,2.2,9.5,20.9,22.8,20.3,2.2,12.0,14.0,95.4,97.0,4.6,3.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293,39.0,36.0,23.0,12.0,27.0,67.0,55.0,71.0,32.0,41.0,61.0,248,236.0,293.0,39.0,36.0,23.0,12.0,27.0,67.0,55.0,71.0,32.0,41.0,61.0,248.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,26.0,33.3,39.7,12.3,16.2,19.2,22.8,20.3,26.0,33.3,39.7,12.3,16.2,19.2,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2013-10-11,3.728,3.792,3.726,3.776,0.0,53.40148633826558,3.6304000000000003,97.84946236559139,70.54958183990442,-0.015466025839865782,0.022097777148128862,3.995847325025633,3.2649526749743676
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,131001,2013-10-04,023651,NYME,1,23,1275792,135717,207874,223871,30707,125103,264850,287546,251044,32218,151749,184774,1217577,1238797,58215,36995,1275792,135717,207874,223871,30707,125103,264850,287546,251044,32218,151749,184774,1217577,1238797,58215,36995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8881.0,5001.0,3347.0,7218.0,-3203.0,3221.0,-2268.0,17274.0,-15464.0,552.0,-10236.0,-3391.0,-5131.0,-8452.0,-3750.0,-429.0,100,10.6,16.3,17.5,2.4,9.8,20.8,22.5,19.7,2.5,11.9,14.5,95.4,97.1,4.6,2.9,100,10.6,16.3,17.5,2.4,9.8,20.8,22.5,19.7,2.5,11.9,14.5,95.4,97.1,4.6,2.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293,39.0,37.0,22.0,13.0,24.0,66.0,61.0,67.0,28.0,43.0,58.0,237,237.0,293.0,39.0,37.0,22.0,13.0,24.0,66.0,61.0,67.0,28.0,43.0,58.0,237.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.7,33.3,38.9,12.1,15.9,18.8,22.7,20.0,25.7,33.3,38.9,12.1,15.9,18.8,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2013-10-04,3.509,3.535,3.482,3.506,1.0,45.99468420323587,3.6534499999999994,49.46236559139783,69.77299880525688,-0.030836595780117104,0.011510902562479667,4.105465125503761,3.2014348744962375
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,130924,2013-09-27,023651,NYME,1,23,1284673,130716,204527,216653,33910,121882,267118,270272,266508,31666,161985,188165,1222708,1247249,61965,37424,1284673,130716,204527,216653,33910,121882,267118,270272,266508,31666,161985,188165,1222708,1247249,61965,37424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40758.0,-4846.0,2651.0,-1034.0,-992.0,636.0,-5421.0,6626.0,-14394.0,9896.0,-18257.0,-18492.0,-33655.0,-42222.0,-7103.0,1464.0,100,10.2,15.9,16.9,2.6,9.5,20.8,21.0,20.7,2.5,12.6,14.6,95.2,97.1,4.8,2.9,100,10.2,15.9,16.9,2.6,9.5,20.8,21.0,20.7,2.5,12.6,14.6,95.2,97.1,4.8,2.9,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302,38.0,34.0,22.0,12.0,25.0,67.0,65.0,79.0,37.0,38.0,65.0,257,246.0,302.0,38.0,34.0,22.0,12.0,25.0,67.0,65.0,79.0,37.0,38.0,65.0,257.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,25.9,32.5,39.2,11.6,16.1,18.0,23.2,19.7,25.9,32.5,39.2,11.6,16.1,18.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2013-09-27,3.581,3.608,3.521,3.589,1.0,48.180742883610804,3.6809,64.33691756272403,84.64755077658305,-0.022515591411083058,0.004705603767767121,4.161018362599512,3.200781637400488
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,130917,2013-09-20,023651,NYME,1,23,1325431,135562,201876,217687,34902,121246,272539,263646,280902,21770,180242,206657,1256363,1289471,69068,35960,1325431,135562,201876,217687,34902,121246,272539,263646,280902,21770,180242,206657,1256363,1289471,69068,35960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18836.0,-7056.0,-8.0,-3700.0,-4383.0,-4070.0,2521.0,-8771.0,18871.0,-1814.0,9803.0,7332.0,12084.0,18774.0,6752.0,62.0,100,10.2,15.2,16.4,2.6,9.1,20.6,19.9,21.2,1.6,13.6,15.6,94.8,97.3,5.2,2.7,100,10.2,15.2,16.4,2.6,9.1,20.6,19.9,21.2,1.6,13.6,15.6,94.8,97.3,5.2,2.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291,38.0,36.0,20.0,15.0,26.0,69.0,52.0,72.0,28.0,45.0,64.0,252,233.0,291.0,38.0,36.0,20.0,15.0,26.0,69.0,52.0,72.0,28.0,45.0,64.0,252.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,25.4,32.1,39.0,11.4,15.9,17.6,22.7,19.2,25.4,32.1,39.0,11.4,15.9,17.6,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2013-09-20,3.793,3.793,3.732,3.763,1.0,53.09296038811942,3.6969499999999997,95.51971326164876,84.77381794352344,-0.020018373433101644,-0.00023919167240663364,4.1855201910462005,3.2083798089537985
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,130910,2013-09-13,023651,NYME,1,23,1306595,142618,201884,221387,39285,125316,270018,272417,262031,23584,170439,199325,1244279,1270697,62316,35898,1306595,142618,201884,221387,39285,125316,270018,272417,262031,23584,170439,199325,1244279,1270697,62316,35898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22206.0,-6765.0,-6650.0,3024.0,-1967.0,-8012.0,-171.0,2032.0,-2516.0,2756.0,7311.0,-11687.0,-23371.0,-21489.0,1165.0,-717.0,100,10.9,15.5,16.9,3.0,9.6,20.7,20.8,20.1,1.8,13.0,15.3,95.2,97.3,4.8,2.7,100,10.9,15.5,16.9,3.0,9.6,20.7,20.8,20.1,1.8,13.0,15.3,95.2,97.3,4.8,2.7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,38.0,35.0,21.0,14.0,27.0,67.0,57.0,70.0,29.0,42.0,60.0,244,233.0,288.0,38.0,35.0,21.0,14.0,27.0,67.0,57.0,70.0,29.0,42.0,60.0,244.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,25.5,33.7,38.4,11.7,15.4,17.9,22.4,20.1,25.5,33.7,38.4,11.7,15.4,17.9,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2013-09-13,3.711,3.766,3.68,3.755,1.0,52.887894859315836,3.7108499999999998,94.08602150537637,73.00464738681116,-0.03425620214741931,-0.007042593767409172,4.222600874835316,3.199099125164683
NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,130903,2013-09-06,023651,NYME,1,23,1328801,149383,208534,218363,41252,133328,270189,270385,264547,20828,163128,211012,1267650,1292186,61151,36615,1328801,149383,208534,218363,41252,133328,270189,270385,264547,20828,163128,211012,1267650,1292186,61151,36615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.0,-263.0,-3464.0,-3082.0,1.0,8556.0,3538.0,137.0,-15405.0,1649.0,11163.0,4105.0,-902.0,5093.0,1265.0,-4730.0,100,11.2,15.7,16.4,3.1,10.0,20.3,20.3,19.9,1.6,12.3,15.9,95.4,97.2,4.6,2.8,100,11.2,15.7,16.4,3.1,10.0,20.3,20.3,19.9,1.6,12.3,15.9,95.4,97.2,4.6,2.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291,40.0,36.0,20.0,14.0,28.0,70.0,55.0,72.0,29.0,41.0,60.0,248,237.0,291.0,40.0,36.0,20.0,14.0,28.0,70.0,55.0,72.0,29.0,41.0,60.0,248.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,24.6,32.9,37.4,11.4,14.7,17.5,21.7,19.7,24.6,32.9,37.4,11.4,14.7,17.5,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(Contracts of 10,000 MMBTU'S)",N13,FutOnly,2013-09-06,3.669,3.687,3.605,3.617,0.0,49.3404084745613,3.7342499999999994,64.71571906354517,50.08355382311901,-0.05111603151456956,-0.015857281316841255,4.294958151874862,3.1735418481251365
